Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
Braun Corporation,2021,1258,1,1,Low
Pierce Manufacturing,2021,3,1,1,Low
"Daimler Trucks North America, LLC",2021,4341,2,3,High
Braun Northwest,2021,23,1,1,Low
"Smeal Holding, LLC",2021,2,1,1,Low
PACCAR Incorporated,2021,1021,1,1,Low
Marion Body Works Inc.,2021,1,1,1,Low
"Braun Industries, Inc.",2021,61,1,1,Low
"Volvo Car USA, LLC",2021,2883,2,3,High
Marion Body Works Inc.,2020,2,1,1,Low
"Yamaha Motor Corporation, USA",2020,2285,2,3,High
"Yamaha Motor Corporation, USA",2020,18203,2,3,High
"International Motors, LLC",2020,17213,2,3,High
"General Motors, LLC",2020,470,1,1,Low
"General Motors, LLC",2020,464,1,1,Low
ESCAPE TRAILER INDUSTRIES LTD.,2020,294,1,1,Low
"Forest River, Inc.",2020,15,1,1,Low
"General Motors, LLC",2020,220006,2,3,High
"Daimler Vans USA, LLC",2020,9094,2,3,High
Volvo Bus Corporation,2020,553,1,1,Low
Thor Motor Coach,2020,940,1,1,Low
SVI Trucks,2020,8,1,1,Low
"Daimler Trucks North America, LLC",2020,278,1,1,Low
"Daimler Trucks North America, LLC",2020,80,1,1,Low
KATTLE KING TRAILER CO.,1974,49,0,2,Medium
Keystone RV Company,2020,347,1,1,Low
Ford Motor Company,2020,1405,2,3,High
"International Motors, LLC",2020,28,1,1,Low
"General Motors, LLC",2020,3203,2,3,High
Ford Motor Company,2020,12,1,1,Low
"General Motors, LLC",2020,624216,2,3,High
"Jaguar Land Rover North America, LLC",2020,13,1,1,Low
"Jaguar Land Rover North America, LLC",2020,66,1,1,Low
KATTLE KING TRAILER CO.,1974,49,0,2,Medium
Oshkosh Corporation,1974,25,0,2,Medium
Ford Motor Company,2020,29344,2,3,High
"Jayco, Inc.",2020,1705,2,3,High
Honda (American Honda Motor Co.),2020,2690,2,3,High
Honda (American Honda Motor Co.),2020,27838,2,3,High
Aston Martin The Americas,2020,151,1,1,Low
"Volkswagen Group of America, Inc.",2020,105652,2,3,High
"Volkswagen Group of America, Inc.",2020,313,1,1,Low
"Daimler Trucks North America, LLC",2020,28,1,1,Low
Rosenbauer America,2020,72,1,1,Low
"Chrysler (FCA US, LLC)",1974,2391,0,2,Medium
"Jayco, Inc.",2020,3356,2,3,High
Ducati North America,2020,1072,1,1,Low
Volvo Trucks North America,2020,6982,2,3,High
"Halcore Group, Inc.",2020,7,1,1,Low
