Manufacturer,Year,Potentially Affected,cluster,severity_level,severity_label
Blue Bird Body Company,2020,3532,2,3,High
Toyota Motor Engineering & Manufacturing,2020,183397,2,3,High
"Daimler Trucks North America, LLC",2020,16776,2,3,High
"Jayco, Inc.",2020,3629,2,3,High
Daimler Coaches North America,2020,64,1,1,Low
"Gulf Stream Coach, Inc.",2020,22,1,1,Low
"Mitsubishi Motors North America, Inc.",2020,177000,2,3,High
"Forest River, Inc.",2020,62,1,1,Low
"Altec Industries, Inc.",2020,2550,2,3,High
"Kia America, Inc.",2020,5385,2,3,High
"Chrysler (FCA US, LLC)",2020,925239,2,3,High
"Volkswagen Group of America, Inc.",2020,12964,2,3,High
Keystone RV Company,2020,8313,2,3,High
"Mercedes-Benz USA, LLC",2020,5399,2,3,High
Daimler Coaches North America,2020,58,1,1,Low
"Jayco, Inc.",2020,1409,2,3,High
"Forest River, Inc.",2020,47,1,1,Low
